no,date,amt
17,3/2/2015,14000
18,3/9/2015,12500
19,4/14/2015,126500
20,4/15/2015,142125.7
21,4/17/2015,33468
22,4/22/2015,233000
23,4/29/2015,10350
24,5/12/2015,149735.59
25,5/20/2015,11300
26,5/22/2015,20000.01
27,5/29/2015,130399.98
31,6/2/2015,130399.98
34,6/3/2015,222761
35,6/4/2015,200000
28,6/10/2015,140000
29,6/12/2015,10214.6
30,6/18/2015,47075.01
32,6/23/2015,200000
33,6/26/2015,10000
39,7/2/2015,30900
41,7/3/2015,85000
43,7/8/2015,525150
44,7/9/2015,6000
36,7/11/2015,43072.74
37,7/16/2015,82799.97
38,7/17/2015,60000
40,7/23/2015,22944.08
42,7/31/2015,22000
52,8/5/2015,24996
53,8/9/2015,20286.16
45,8/12/2015,105000
46,8/14/2015,10000
47,8/16/2015,2000
48,8/20/2015,1623074.54
49,8/26/2015,79660
50,8/27/2015,16250
51,8/28/2015,17947.63
54,9/1/2015,6480
59,9/3/2015,10000
55,9/14/2015,18765
56,9/15/2015,20000
57,9/24/2015,734602.66
58,9/25/2015,10000
5,10/2/2015,59500
11,10/6/2015,5000
12,10/7/2015,79660
13,10/9/2015,96756.89
1,10/10/2015,60000
2,10/14/2015,32862.32
3,10/15/2015,300000
4,10/16/2015,2000
6,10/20/2015,10000
7,10/21/2015,3400
8,10/26/2015,15000
9,10/27/2015,28684.75
10,10/30/2015,115289.88
14,11/3/2015,2000
15,11/4/2015,21365
16,11/5/2015,240049.01